evaluation_id,batch_id,domain,complexity,true_quality
E00075,B1,technical,moderate,5
E00076,B1,opinion,complex,5
E00077,B1,technical,simple,3
E00078,B1,technical,moderate,4
E00079,B1,factual,simple,2
E00080,B1,creative,simple,4
E00081,B1,technical,simple,5
E00082,B1,technical,complex,1
E00083,B1,opinion,simple,1
E00084,B1,factual,complex,3
E00085,B1,technical,simple,1
E00086,B1,opinion,complex,4
E00087,B1,factual,simple,3
E00088,B1,opinion,simple,1
E00089,B1,factual,moderate,1
E00090,B1,opinion,moderate,1
E00091,B1,opinion,moderate,4
E00092,B1,factual,complex,1
E00093,B1,technical,moderate,4
E00094,B1,opinion,simple,1
E00095,B1,creative,moderate,5
E00096,B1,opinion,moderate,2
E00097,B1,creative,complex,4
E00098,B1,creative,complex,2
E00099,B1,factual,moderate,1
E00100,B1,technical,simple,4
E00101,B1,creative,moderate,1
E00102,B1,technical,moderate,5
E00103,B1,technical,complex,5
E00104,B1,factual,complex,3
E00105,B1,opinion,simple,1
E00106,B1,factual,complex,5
E00107,B1,factual,moderate,2
E00108,B1,opinion,complex,4
E00109,B1,opinion,moderate,4
E00110,B1,technical,moderate,2
E00111,B1,technical,complex,4
E00112,B1,factual,simple,3
E00113,B1,factual,moderate,2
E00114,B1,opinion,simple,5
E00115,B1,opinion,moderate,1
E00116,B1,factual,complex,1
E00117,B1,factual,simple,2
E00118,B1,opinion,simple,5
E00119,B1,technical,simple,2
E00120,B1,factual,simple,1
E00121,B1,creative,simple,1
E00122,B1,opinion,moderate,1
E00123,B1,creative,moderate,4
E00124,B1,opinion,moderate,2
E00125,B1,creative,complex,5
E00126,B1,creative,simple,1
E00127,B1,opinion,simple,2
E00128,B1,creative,moderate,3
E00129,B1,factual,moderate,1
E00130,B1,opinion,simple,3
E00131,B1,technical,simple,5
E00132,B1,factual,simple,5
E00133,B1,opinion,complex,5
E00134,B1,technical,complex,5
E00135,B1,creative,moderate,4
E00136,B1,creative,simple,4
E00137,B1,opinion,moderate,3
E00138,B1,opinion,moderate,5
E00139,B1,opinion,moderate,2
E00140,B1,technical,simple,2
E00141,B1,factual,moderate,3
E00142,B1,creative,moderate,2
E00143,B1,creative,simple,2
E00144,B1,factual,moderate,2
E00145,B1,technical,complex,2
E00146,B1,creative,moderate,5
E00147,B1,opinion,moderate,2
E00148,B1,opinion,moderate,5
E00149,B1,technical,moderate,5
E00150,B1,opinion,simple,4
E00151,B2,technical,simple,4
E00152,B2,creative,complex,4
E00153,B2,opinion,moderate,1
E00154,B2,creative,moderate,1
E00155,B2,creative,complex,1
E00156,B2,creative,complex,1
E00157,B2,technical,moderate,5
E00158,B2,factual,complex,4
E00159,B2,opinion,simple,5
E00160,B2,creative,simple,3
E00161,B2,creative,simple,4
E00162,B2,technical,moderate,3
E00163,B2,factual,moderate,3
E00164,B2,creative,complex,4
E00165,B2,creative,moderate,3
E00166,B2,technical,simple,5
E00167,B2,opinion,simple,1
E00168,B2,factual,moderate,4
E00169,B2,opinion,moderate,4
E00170,B2,creative,complex,2
E00171,B2,opinion,simple,4
E00172,B2,opinion,simple,2
E00173,B2,factual,simple,1
E00174,B2,technical,moderate,5
E00175,B2,creative,moderate,2
E00176,B2,technical,complex,3
E00177,B2,factual,moderate,4
E00178,B2,technical,complex,2
E00179,B2,technical,complex,4
E00180,B2,factual,complex,1
E00181,B2,opinion,simple,4
E00182,B2,factual,moderate,3
E00183,B2,creative,moderate,1
E00184,B2,creative,simple,5
E00185,B2,opinion,moderate,3
E00186,B2,technical,complex,2
E00187,B2,creative,simple,4
E00188,B2,factual,complex,5
E00189,B2,creative,complex,2
E00190,B2,technical,complex,1
E00191,B2,technical,moderate,4
E00192,B2,creative,complex,1
E00193,B2,opinion,simple,1
E00194,B2,factual,complex,1
E00195,B2,opinion,complex,1
E00196,B2,factual,simple,4
E00197,B2,technical,simple,1
E00198,B2,opinion,complex,4
E00199,B2,opinion,complex,2
E00200,B2,technical,complex,1
E00201,B2,opinion,complex,5
E00202,B2,opinion,complex,4
E00203,B2,factual,simple,1
E00204,B2,technical,moderate,1
E00205,B2,creative,moderate,4
E00206,B2,technical,simple,5
E00207,B2,opinion,simple,4
E00208,B2,technical,moderate,2
E00209,B2,creative,moderate,5
E00210,B2,creative,moderate,1
E00211,B2,technical,complex,1
E00212,B2,factual,simple,4
E00213,B2,factual,simple,1
E00214,B2,factual,moderate,5
E00215,B2,creative,moderate,4
E00216,B2,opinion,simple,3
E00217,B2,technical,simple,5
E00218,B2,factual,moderate,3
E00219,B2,factual,complex,4
E00220,B2,technical,moderate,1
E00221,B2,creative,moderate,3
E00222,B2,technical,simple,1
E00223,B2,opinion,simple,2
E00224,B2,creative,moderate,3
E00225,B2,factual,moderate,4
E00226,B2,technical,simple,3
E00227,B2,opinion,simple,3
E00228,B2,opinion,moderate,1
E00229,B2,factual,simple,3
E00230,B2,technical,moderate,3
E00231,B2,creative,moderate,4
E00232,B2,creative,simple,4
E00233,B2,technical,moderate,4
E00234,B2,technical,moderate,3
E00235,B2,creative,moderate,2
E00236,B2,opinion,complex,4
E00237,B2,technical,moderate,5
E00238,B2,creative,complex,3
E00239,B2,technical,complex,2
E00240,B2,factual,simple,3
E00241,B2,technical,complex,1
E00242,B2,opinion,simple,1
E00243,B2,creative,simple,2
E00244,B2,creative,moderate,2
E00245,B2,opinion,complex,1
E00246,B2,creative,moderate,5
E00247,B2,creative,moderate,1
E00248,B2,creative,moderate,1
E00249,B2,creative,complex,5
E00250,B2,factual,simple,4
E00251,B2,opinion,moderate,4
E00252,B2,opinion,moderate,2
E00253,B2,factual,simple,1
E00254,B2,opinion,simple,3
E00255,B2,creative,complex,1
E00256,B2,opinion,moderate,5
E00257,B2,technical,complex,5
E00258,B2,creative,moderate,1
E00259,B2,opinion,simple,2
E00260,B2,opinion,moderate,4
E00261,B2,factual,simple,3
E00262,B2,factual,complex,1
E00263,B2,opinion,simple,1
E00264,B2,technical,moderate,2
E00265,B2,opinion,moderate,3
E00266,B2,technical,simple,1
E00267,B2,opinion,moderate,5
E00268,B2,creative,moderate,4
E00269,B2,opinion,simple,4
E00270,B2,creative,moderate,2
E00271,B2,opinion,complex,2
E00272,B2,factual,complex,3
E00273,B2,creative,moderate,5
E00274,B2,factual,moderate,5
E00275,B2,technical,simple,5
E00276,B2,creative,moderate,3
E00277,B2,creative,moderate,1
E00278,B2,opinion,moderate,5
E00279,B2,factual,simple,1
E00280,B2,factual,simple,1
E00281,B2,creative,moderate,5
E00282,B2,factual,moderate,2
E00283,B2,creative,simple,1
E00284,B2,technical,moderate,4
E00285,B2,creative,moderate,5
E00286,B2,opinion,complex,3
E00287,B2,creative,moderate,5
E00288,B2,factual,complex,5
E00289,B2,factual,simple,5
E00290,B2,creative,moderate,4
E00291,B2,creative,moderate,3
E00292,B2,factual,complex,5
E00293,B2,technical,moderate,2
E00294,B2,opinion,simple,4
E00295,B2,technical,simple,1
E00296,B2,creative,moderate,4
E00297,B2,opinion,moderate,5
E00298,B2,factual,moderate,5
E00299,B2,technical,simple,4
E00300,B2,technical,complex,3
E00301,B3,factual,complex,5
E00302,B3,technical,moderate,1
E00303,B3,opinion,simple,1
E00304,B3,opinion,moderate,4
E00305,B3,creative,complex,4
E00306,B3,creative,complex,4
E00307,B3,factual,simple,1
E00308,B3,technical,complex,4
E00309,B3,factual,moderate,1
E00310,B3,factual,simple,4
E00311,B3,opinion,complex,3
E00312,B3,creative,simple,4
E00313,B3,factual,simple,5
E00314,B3,opinion,simple,5
E00315,B3,creative,moderate,3
E00316,B3,technical,complex,2
E00317,B3,opinion,simple,1
E00318,B3,creative,moderate,2
E00319,B3,factual,complex,5
E00320,B3,creative,moderate,2
E00321,B3,creative,moderate,1
E00322,B3,technical,moderate,5
E00323,B3,creative,moderate,3
E00324,B3,factual,moderate,5
E00325,B3,factual,moderate,1
E00326,B3,technical,simple,1
E00327,B3,creative,moderate,1
E00328,B3,opinion,simple,4
E00329,B3,factual,complex,3
E00330,B3,opinion,moderate,4
E00331,B3,opinion,complex,2
E00332,B3,factual,simple,2
E00333,B3,opinion,moderate,5
E00334,B3,opinion,moderate,4
E00335,B3,creative,simple,4
E00336,B3,opinion,simple,2
E00337,B3,technical,complex,1
E00338,B3,technical,moderate,2
E00339,B3,factual,complex,4
E00340,B3,creative,moderate,3
E00341,B3,opinion,moderate,5
E00342,B3,factual,complex,5
E00343,B3,factual,simple,4
E00344,B3,technical,simple,3
E00345,B3,factual,complex,4
E00346,B3,opinion,moderate,3
E00347,B3,technical,complex,1
E00348,B3,creative,simple,1
E00349,B3,technical,simple,2
E00350,B3,opinion,moderate,3
E00351,B3,opinion,simple,2
E00352,B3,opinion,moderate,1
E00353,B3,opinion,moderate,1
E00354,B3,factual,simple,2
E00355,B3,factual,moderate,2
E00356,B3,technical,simple,1
E00357,B3,factual,simple,5
E00358,B3,technical,moderate,3
E00359,B3,technical,moderate,2
E00360,B3,creative,complex,4
E00361,B3,creative,simple,2
E00362,B3,creative,moderate,2
E00363,B3,opinion,simple,4
E00364,B3,creative,complex,2
E00365,B3,factual,moderate,1
E00366,B3,opinion,simple,4
E00367,B3,creative,simple,1
E00368,B3,technical,simple,5
E00369,B3,opinion,simple,1
E00370,B3,technical,moderate,1
E00371,B3,factual,moderate,2
E00372,B3,technical,complex,3
E00373,B3,factual,complex,1
E00374,B3,creative,simple,4
E00375,B3,opinion,complex,4
E00376,B3,factual,complex,2
E00377,B3,creative,moderate,3
E00378,B3,opinion,moderate,5
E00379,B3,creative,simple,5
E00380,B3,creative,moderate,4
E00381,B3,factual,moderate,2
E00382,B3,creative,simple,2
E00383,B3,opinion,simple,1
E00384,B3,factual,simple,1
E00385,B3,creative,moderate,4
E00386,B3,factual,simple,4
E00387,B3,technical,moderate,5
E00388,B3,technical,simple,1
E00389,B3,creative,simple,4
E00390,B3,opinion,complex,3
E00391,B3,factual,simple,1
E00392,B3,creative,moderate,5
E00393,B3,factual,complex,1
E00394,B3,technical,moderate,5
E00395,B3,technical,simple,4
E00396,B3,creative,moderate,1
E00397,B3,technical,moderate,2
E00398,B3,opinion,simple,5
E00399,B3,technical,simple,3
E00400,B3,opinion,simple,5
E00401,B3,creative,moderate,4
E00402,B3,creative,moderate,2
E00403,B3,creative,moderate,4
E00404,B3,factual,complex,4
E00405,B3,technical,moderate,3
E00406,B3,opinion,complex,1
E00407,B3,factual,moderate,3
E00408,B3,opinion,complex,1
E00409,B3,creative,moderate,2
E00410,B3,factual,complex,1
E00411,B3,factual,simple,1
E00412,B3,opinion,complex,5
E00413,B3,technical,moderate,2
E00414,B3,opinion,complex,4
E00415,B3,creative,moderate,2
E00416,B3,technical,moderate,4
E00417,B3,creative,moderate,4
E00418,B3,factual,complex,1
E00419,B3,creative,complex,5
E00420,B3,creative,simple,1
E00421,B3,factual,simple,4
E00422,B3,technical,moderate,5
E00423,B3,opinion,complex,4
E00424,B3,creative,simple,2
E00425,B3,factual,moderate,4
E00426,B3,factual,moderate,3
E00427,B3,creative,moderate,5
E00428,B3,technical,moderate,1
E00429,B3,factual,simple,2
E00430,B3,factual,moderate,1
E00431,B3,technical,complex,2
E00432,B3,creative,simple,2
E00433,B3,factual,complex,4
E00434,B3,factual,simple,2
E00435,B3,opinion,moderate,1
E00436,B3,technical,simple,3
E00437,B3,technical,moderate,1
E00438,B3,technical,moderate,5
E00439,B3,creative,simple,3
E00440,B3,technical,simple,2
E00441,B3,factual,complex,4
E00442,B3,opinion,complex,5
E00443,B3,creative,complex,5
E00444,B3,creative,simple,1
E00445,B3,opinion,moderate,2
E00446,B3,factual,complex,1
E00447,B3,creative,moderate,4
E00448,B3,creative,simple,1
E00449,B3,factual,complex,1
E00450,B3,factual,moderate,3
E00451,B4,creative,moderate,2
E00452,B4,opinion,complex,3
E00453,B4,technical,simple,4
E00454,B4,creative,simple,5
E00455,B4,technical,simple,5
E00456,B4,factual,complex,2
E00457,B4,creative,moderate,1
E00458,B4,technical,simple,3
E00459,B4,opinion,complex,4
E00460,B4,creative,simple,5
E00461,B4,creative,simple,3
E00462,B4,factual,simple,2
E00463,B4,technical,complex,5
E00464,B4,technical,moderate,4
E00465,B4,factual,moderate,3
E00466,B4,factual,moderate,3
E00467,B4,factual,simple,1
E00468,B4,technical,moderate,5
E00469,B4,opinion,simple,5
E00470,B4,factual,simple,3
E00471,B4,technical,simple,2
E00472,B4,factual,complex,1
E00473,B4,technical,moderate,2
E00474,B4,technical,moderate,3
E00475,B4,creative,simple,3
E00476,B4,opinion,complex,5
E00477,B4,opinion,moderate,4
E00478,B4,opinion,complex,1
E00479,B4,creative,simple,2
E00480,B4,opinion,complex,2
E00481,B4,creative,complex,4
E00482,B4,creative,simple,4
E00483,B4,technical,moderate,5
E00484,B4,factual,simple,4
E00485,B4,creative,simple,5
E00486,B4,opinion,moderate,1
E00487,B4,opinion,simple,1
E00488,B4,opinion,moderate,4
E00489,B4,technical,simple,5
E00490,B4,factual,moderate,4
E00491,B4,factual,moderate,4
E00492,B4,technical,complex,3
E00493,B4,creative,simple,2
E00494,B4,technical,complex,4
E00495,B4,creative,moderate,1
E00496,B4,factual,moderate,5
E00497,B4,factual,moderate,5
E00498,B4,opinion,simple,4
E00499,B4,factual,moderate,5
E00500,B4,creative,moderate,4
E00501,B4,opinion,moderate,3
E00502,B4,creative,complex,3
E00503,B4,factual,moderate,3
E00504,B4,factual,moderate,2
E00505,B4,factual,simple,3
E00506,B4,opinion,moderate,1
E00507,B4,technical,moderate,4
E00508,B4,factual,simple,1
E00509,B4,opinion,complex,1
E00510,B4,opinion,simple,5
E00511,B4,opinion,simple,4
E00512,B4,opinion,simple,2
E00513,B4,factual,moderate,2
E00514,B4,opinion,simple,5
E00515,B4,opinion,moderate,3
E00516,B4,opinion,moderate,5
E00517,B4,creative,moderate,2
E00518,B4,technical,complex,2
E00519,B4,creative,moderate,2
E00520,B4,creative,moderate,1
E00521,B4,creative,moderate,5
E00522,B4,factual,complex,3
E00523,B4,opinion,simple,5
E00524,B4,opinion,moderate,3
E00525,B4,factual,simple,4
E00526,B4,opinion,complex,2
E00527,B4,opinion,complex,5
E00528,B4,opinion,moderate,5
E00529,B4,opinion,complex,4
E00530,B4,technical,moderate,3
E00531,B4,creative,moderate,2
E00532,B4,creative,simple,2
E00533,B4,factual,moderate,3
E00534,B4,factual,complex,2
E00535,B4,factual,simple,5
E00536,B4,factual,simple,1
E00537,B4,factual,complex,4
E00538,B4,technical,complex,1
E00539,B4,creative,moderate,1
E00540,B4,factual,simple,5
E00541,B4,opinion,moderate,1
E00542,B4,factual,complex,4
E00543,B4,factual,simple,5
E00544,B4,opinion,complex,1
E00545,B4,technical,complex,2
E00546,B4,technical,simple,4
E00547,B4,creative,simple,5
E00548,B4,technical,moderate,3
E00549,B4,technical,moderate,3
E00550,B4,opinion,complex,4
E00551,B4,technical,moderate,5
E00552,B4,technical,moderate,1
E00553,B4,technical,simple,5
E00554,B4,factual,moderate,3
E00555,B4,technical,moderate,1
E00556,B4,opinion,complex,2
E00557,B4,creative,complex,5
E00558,B4,opinion,simple,3
E00559,B4,technical,complex,4
E00560,B4,technical,complex,3
E00561,B4,factual,complex,1
E00562,B4,opinion,simple,1
E00563,B4,factual,simple,3
E00564,B4,creative,simple,1
E00565,B4,technical,complex,3
E00566,B4,technical,moderate,1
E00567,B4,creative,simple,5
E00568,B4,technical,complex,1
E00569,B4,factual,moderate,5
E00570,B4,factual,simple,5
E00571,B4,factual,moderate,2
E00572,B4,creative,complex,2
E00573,B4,technical,complex,3
E00574,B4,creative,moderate,3
E00575,B4,factual,simple,2
E00576,B4,creative,simple,4
E00577,B4,opinion,simple,1
E00578,B4,technical,complex,1
E00579,B4,technical,complex,2
E00580,B4,opinion,moderate,1
E00581,B4,technical,moderate,3
E00582,B4,technical,complex,5
E00583,B4,opinion,simple,5
E00584,B4,creative,moderate,2
E00585,B4,opinion,moderate,2
E00586,B4,technical,moderate,3
E00587,B4,factual,moderate,5
E00588,B4,factual,simple,1
E00589,B4,opinion,moderate,4
E00590,B4,creative,moderate,2
E00591,B4,factual,complex,4
E00592,B4,factual,moderate,3
E00593,B4,opinion,moderate,2
E00594,B4,technical,moderate,2
E00595,B4,creative,simple,4
E00596,B4,factual,simple,1
E00597,B4,creative,moderate,5
E00598,B4,opinion,complex,1
E00599,B4,technical,moderate,3
E00600,B4,opinion,simple,5
E00601,B5,factual,moderate,2
E00602,B5,factual,moderate,1
E00603,B5,technical,simple,2
E00604,B5,factual,moderate,2
E00605,B5,creative,simple,1
E00606,B5,creative,simple,5
E00607,B5,factual,simple,2
E00608,B5,creative,simple,2
E00609,B5,opinion,simple,4
E00610,B5,opinion,complex,5
E00611,B5,creative,simple,1
E00612,B5,technical,moderate,1
E00613,B5,factual,complex,1
E00614,B5,opinion,complex,4
E00615,B5,creative,complex,3
E00616,B5,factual,moderate,1
E00617,B5,technical,complex,2
E00618,B5,technical,complex,3
E00619,B5,opinion,complex,1
E00620,B5,factual,moderate,3
E00621,B5,factual,moderate,5
E00622,B5,opinion,moderate,2
E00623,B5,factual,simple,1
E00624,B5,technical,simple,1
E00625,B5,opinion,moderate,5
E00626,B5,creative,moderate,2
E00627,B5,factual,moderate,3
E00628,B5,factual,complex,5
E00629,B5,creative,simple,2
E00630,B5,factual,moderate,3
E00631,B5,factual,moderate,3
E00632,B5,factual,simple,3
E00633,B5,opinion,moderate,2
E00634,B5,creative,simple,1
E00635,B5,creative,moderate,4
E00636,B5,opinion,moderate,2
E00637,B5,opinion,simple,4
E00638,B5,creative,complex,5
E00639,B5,technical,moderate,3
E00640,B5,opinion,complex,1
E00641,B5,opinion,complex,2
E00642,B5,opinion,simple,3
E00643,B5,creative,moderate,1
E00644,B5,opinion,simple,3
E00645,B5,factual,complex,4
E00646,B5,technical,moderate,3
E00647,B5,factual,complex,1
E00648,B5,opinion,complex,2
E00649,B5,opinion,moderate,2
E00650,B5,technical,simple,2
E00651,B5,factual,moderate,4
E00652,B5,technical,complex,3
E00653,B5,technical,complex,5
E00654,B5,opinion,moderate,1
E00655,B5,opinion,moderate,5
E00656,B5,technical,complex,1
E00657,B5,creative,moderate,3
E00658,B5,creative,moderate,5
E00659,B5,opinion,moderate,3
E00660,B5,technical,simple,3
E00661,B5,opinion,complex,4
E00662,B5,technical,simple,2
E00663,B5,creative,simple,5
E00664,B5,opinion,moderate,3
E00665,B5,factual,simple,4
E00666,B5,creative,moderate,4
E00667,B5,opinion,simple,4
E00668,B5,creative,moderate,3
E00669,B5,opinion,simple,2
E00670,B5,creative,simple,1
E00671,B5,technical,complex,1
E00672,B5,technical,complex,3
E00673,B5,factual,simple,5
E00674,B5,creative,complex,4
E00675,B5,opinion,moderate,4
E00676,B5,technical,simple,3
E00677,B5,technical,complex,3
E00678,B5,factual,simple,5
E00679,B5,technical,simple,4
E00680,B5,creative,simple,5
E00681,B5,factual,complex,5
E00682,B5,opinion,simple,1
E00683,B5,technical,simple,5
E00684,B5,creative,complex,3
E00685,B5,opinion,moderate,3
E00686,B5,opinion,simple,3
E00687,B5,technical,simple,5
E00688,B5,opinion,simple,1
E00689,B5,technical,simple,5
E00690,B5,creative,moderate,5
E00691,B5,creative,complex,5
E00692,B5,creative,complex,5
E00693,B5,creative,complex,1
E00694,B5,factual,moderate,3
E00695,B5,opinion,complex,5
E00696,B5,factual,moderate,4
E00697,B5,factual,moderate,3
E00698,B5,factual,moderate,2
E00699,B5,technical,simple,1
E00700,B5,creative,moderate,4
E00701,B5,technical,moderate,5
E00702,B5,technical,simple,1
E00703,B5,opinion,complex,2
E00704,B5,opinion,moderate,2
E00705,B5,creative,complex,5
E00706,B5,technical,simple,2
E00707,B5,factual,simple,1
E00708,B5,technical,moderate,1
E00709,B5,factual,moderate,5
E00710,B5,creative,simple,4
E00711,B5,creative,moderate,5
E00712,B5,creative,complex,5
E00713,B5,technical,simple,2
E00714,B5,factual,moderate,2
E00715,B5,creative,moderate,5
E00716,B5,factual,moderate,4
E00717,B5,factual,simple,1
E00718,B5,technical,moderate,4
E00719,B5,technical,simple,3
E00720,B5,opinion,simple,4
E00721,B5,creative,simple,5
E00722,B5,opinion,moderate,1
E00723,B5,creative,moderate,3
E00724,B5,opinion,complex,3
E00725,B5,technical,moderate,3
E00726,B5,opinion,simple,3
E00727,B5,creative,simple,3
E00728,B5,creative,simple,4
E00729,B5,creative,moderate,5
E00730,B5,factual,moderate,5
E00731,B5,creative,complex,1
E00732,B5,creative,complex,4
E00733,B5,opinion,moderate,3
E00734,B5,technical,moderate,5
E00735,B5,factual,moderate,2
E00736,B5,opinion,complex,4
E00737,B5,creative,moderate,2
E00738,B5,creative,moderate,5
E00739,B5,technical,moderate,4
E00740,B5,creative,moderate,2
E00741,B5,factual,simple,1
E00742,B5,factual,moderate,4
E00743,B5,technical,simple,5
E00744,B5,creative,complex,1
E00745,B5,opinion,simple,1
E00746,B5,factual,moderate,2
E00747,B5,technical,complex,5
E00748,B5,technical,simple,4
E00749,B5,opinion,moderate,2
E00750,B5,opinion,simple,1
E00751,B6,technical,simple,2
E00752,B6,creative,moderate,3
E00753,B6,technical,moderate,1
E00754,B6,technical,moderate,4
E00755,B6,technical,moderate,5
E00756,B6,factual,simple,5
E00757,B6,factual,simple,2
E00758,B6,technical,moderate,3
E00759,B6,creative,complex,2
E00760,B6,technical,simple,2
E00761,B6,factual,moderate,1
E00762,B6,creative,moderate,2
E00763,B6,opinion,complex,2
E00764,B6,technical,moderate,5
E00765,B6,creative,complex,4
E00766,B6,creative,moderate,5
E00767,B6,factual,complex,5
E00768,B6,creative,moderate,4
E00769,B6,opinion,simple,1
E00770,B6,creative,moderate,3
E00771,B6,factual,moderate,3
E00772,B6,opinion,complex,3
E00773,B6,opinion,simple,1
E00774,B6,technical,complex,4
E00775,B6,opinion,complex,5
E00776,B6,technical,simple,5
E00777,B6,technical,simple,3
E00778,B6,opinion,complex,4
E00779,B6,factual,moderate,2
E00780,B6,creative,simple,2
E00781,B6,technical,simple,1
E00782,B6,creative,moderate,5
E00783,B6,technical,moderate,5
E00784,B6,creative,simple,1
E00785,B6,technical,simple,5
E00786,B6,opinion,simple,5
E00787,B6,factual,complex,4
E00788,B6,factual,simple,2
E00789,B6,factual,simple,5
E00790,B6,technical,moderate,3
E00791,B6,creative,complex,2
E00792,B6,creative,moderate,4
E00793,B6,creative,simple,5
E00794,B6,creative,moderate,1
E00795,B6,factual,simple,5
E00796,B6,technical,moderate,2
E00797,B6,creative,simple,5
E00798,B6,technical,moderate,2
E00799,B6,technical,simple,2
E00800,B6,technical,moderate,1
E00801,B6,factual,complex,3
E00802,B6,creative,moderate,4
E00803,B6,technical,moderate,5
E00804,B6,creative,complex,3
E00805,B6,technical,moderate,2
E00806,B6,technical,simple,4
E00807,B6,factual,simple,3
E00808,B6,technical,moderate,1
E00809,B6,technical,complex,2
E00810,B6,technical,complex,5
E00811,B6,creative,simple,2
E00812,B6,technical,simple,2
E00813,B6,technical,moderate,5
E00814,B6,opinion,complex,2
E00815,B6,creative,simple,2
E00816,B6,technical,moderate,1
E00817,B6,factual,simple,4
E00818,B6,factual,complex,5
E00819,B6,technical,simple,5
E00820,B6,creative,complex,1
E00821,B6,creative,moderate,2
E00822,B6,creative,simple,4
E00823,B6,technical,complex,4
E00824,B6,technical,moderate,4
E00825,B6,technical,moderate,5
E00826,B6,opinion,complex,4
E00827,B6,technical,simple,4
E00828,B6,factual,simple,1
E00829,B6,factual,moderate,3
E00830,B6,creative,moderate,3
E00831,B6,opinion,complex,4
E00832,B6,opinion,moderate,2
E00833,B6,factual,moderate,4
E00834,B6,opinion,complex,1
E00835,B6,factual,moderate,5
E00836,B6,opinion,complex,5
E00837,B6,factual,moderate,2
E00838,B6,creative,complex,3
E00839,B6,technical,moderate,1
E00840,B6,creative,simple,5
E00841,B6,creative,moderate,4
E00842,B6,creative,complex,5
E00843,B6,opinion,complex,2
E00844,B6,technical,moderate,2
E00845,B6,factual,complex,4
E00846,B6,opinion,simple,1
E00847,B6,opinion,moderate,4
E00848,B6,creative,simple,3
E00849,B6,factual,complex,2
E00850,B6,opinion,moderate,1
E00851,B6,factual,simple,5
E00852,B6,factual,simple,4
E00853,B6,creative,moderate,5
E00854,B6,creative,simple,5
E00855,B6,creative,complex,3
E00856,B6,opinion,simple,2
E00857,B6,factual,complex,1
E00858,B6,factual,moderate,4
E00859,B6,factual,moderate,4
E00860,B6,technical,moderate,3
E00861,B6,technical,simple,4
E00862,B6,technical,complex,5
E00863,B6,technical,moderate,2
E00864,B6,technical,complex,1
E00865,B6,technical,complex,5
E00866,B6,opinion,simple,2
E00867,B6,factual,simple,2
E00868,B6,technical,simple,1
E00869,B6,technical,simple,5
E00870,B6,technical,complex,1
E00871,B6,creative,complex,3
E00872,B6,technical,complex,4
E00873,B6,factual,moderate,4
E00874,B6,opinion,moderate,4
E00875,B6,creative,moderate,2
E00876,B6,technical,complex,1
E00877,B6,opinion,simple,2
E00878,B6,opinion,complex,2
E00879,B6,creative,moderate,2
E00880,B6,creative,simple,5
E00881,B6,opinion,simple,4
E00882,B6,opinion,moderate,2
E00883,B6,creative,simple,5
E00884,B6,opinion,simple,3
E00885,B6,factual,moderate,3
E00886,B6,factual,moderate,4
E00887,B6,opinion,moderate,1
E00888,B6,creative,moderate,4
E00889,B6,creative,moderate,1
E00890,B6,technical,simple,3
